date:2019/11/03 02:48:56,  ip:162.158.118.199,  hostname:162.158.118.199,  requestUrl:/admin/member.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36,  遷移元:取得できませんでした
date:2019/11/03 11:18:12,  ip:162.158.118.187,  hostname:162.158.118.187,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2019/11/03 11:18:20,  ip:162.158.118.187,  hostname:162.158.118.187,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2019/11/03 11:18:21,  ip:162.158.118.187,  hostname:162.158.118.187,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2019/11/03 11:38:15,  ip:162.158.118.143,  hostname:162.158.118.143,  requestUrl:/controller/admin/login_ct.php,  method:POST,  browser:Mozilla/5.0 (iPhone; CPU iPhone OS 12_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Mobile/15E148 Safari/604.1,  遷移元:https://jis-j.com/admin/login.php
date:2019/11/03 11:38:15,  ip:162.158.118.143,  hostname:162.158.118.143,  requestUrl:/admin/menu.php,  method:GET,  browser:Mozilla/5.0 (iPhone; CPU iPhone OS 12_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Mobile/15E148 Safari/604.1,  遷移元:https://jis-j.com/admin/login.php
date:2019/11/03 11:38:17,  ip:162.158.118.143,  hostname:162.158.118.143,  requestUrl:/admin/admin_user.php,  method:GET,  browser:Mozilla/5.0 (iPhone; CPU iPhone OS 12_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Mobile/15E148 Safari/604.1,  遷移元:https://jis-j.com/admin/menu.php
date:2019/11/03 11:38:18,  ip:162.158.118.143,  hostname:162.158.118.143,  requestUrl:/controller/admin/admin_user_ct.php,  method:POST,  browser:Mozilla/5.0 (iPhone; CPU iPhone OS 12_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Mobile/15E148 Safari/604.1,  遷移元:https://jis-j.com/admin/admin_user.php
date:2019/11/03 11:38:24,  ip:162.158.118.143,  hostname:162.158.118.143,  requestUrl:/admin/store_basic.php,  method:GET,  browser:Mozilla/5.0 (iPhone; CPU iPhone OS 12_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Mobile/15E148 Safari/604.1,  遷移元:https://jis-j.com/admin/admin_user.php
date:2019/11/03 11:38:24,  ip:162.158.118.143,  hostname:162.158.118.143,  requestUrl:/controller/admin/store_basic_ct.php,  method:POST,  browser:Mozilla/5.0 (iPhone; CPU iPhone OS 12_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Mobile/15E148 Safari/604.1,  遷移元:https://jis-j.com/admin/store_basic.php
date:2019/11/03 11:38:45,  ip:162.158.118.143,  hostname:162.158.118.143,  requestUrl:/controller/admin/store_basic_ct.php,  method:POST,  browser:Mozilla/5.0 (iPhone; CPU iPhone OS 12_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Mobile/15E148 Safari/604.1,  遷移元:https://jis-j.com/admin/store_basic.php
date:2019/11/03 11:50:41,  ip:162.158.118.55,  hostname:162.158.118.55,  requestUrl:/controller/admin/login_ct.php,  method:POST,  browser:Mozilla/5.0 (iPhone; CPU iPhone OS 12_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Mobile/15E148 Safari/604.1,  遷移元:https://jis-j.com/admin/login.php
date:2019/11/03 11:50:41,  ip:162.158.118.55,  hostname:162.158.118.55,  requestUrl:/admin/menu.php,  method:GET,  browser:Mozilla/5.0 (iPhone; CPU iPhone OS 12_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Mobile/15E148 Safari/604.1,  遷移元:https://jis-j.com/admin/login.php
date:2019/11/03 11:51:18,  ip:162.158.118.55,  hostname:162.158.118.55,  requestUrl:/admin/member.php,  method:GET,  browser:Mozilla/5.0 (iPhone; CPU iPhone OS 12_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Mobile/15E148 Safari/604.1,  遷移元:https://jis-j.com/admin/menu.php
date:2019/11/03 11:51:19,  ip:162.158.118.55,  hostname:162.158.118.55,  requestUrl:/controller/admin/member_ct.php,  method:POST,  browser:Mozilla/5.0 (iPhone; CPU iPhone OS 12_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Mobile/15E148 Safari/604.1,  遷移元:https://jis-j.com/admin/member.php
date:2019/11/03 11:51:28,  ip:162.158.118.55,  hostname:162.158.118.55,  requestUrl:/admin/store_basic.php,  method:GET,  browser:Mozilla/5.0 (iPhone; CPU iPhone OS 12_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Mobile/15E148 Safari/604.1,  遷移元:https://jis-j.com/admin/member.php
date:2019/11/03 11:51:28,  ip:162.158.118.55,  hostname:162.158.118.55,  requestUrl:/controller/admin/store_basic_ct.php,  method:POST,  browser:Mozilla/5.0 (iPhone; CPU iPhone OS 12_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Mobile/15E148 Safari/604.1,  遷移元:https://jis-j.com/admin/store_basic.php
date:2019/11/03 11:51:33,  ip:162.158.118.55,  hostname:162.158.118.55,  requestUrl:/controller/admin/store_basic_ct.php,  method:POST,  browser:Mozilla/5.0 (iPhone; CPU iPhone OS 12_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Mobile/15E148 Safari/604.1,  遷移元:https://jis-j.com/admin/store_basic.php
date:2019/11/03 11:54:31,  ip:162.158.118.11,  hostname:162.158.118.11,  requestUrl:/controller/admin/common_ct.php,  method:POST,  browser:Mozilla/5.0 (iPhone; CPU iPhone OS 12_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Mobile/15E148 Safari/604.1,  遷移元:https://jis-j.com/mypage_agency/regist_tour.php
date:2019/11/03 11:57:04,  ip:162.158.118.187,  hostname:162.158.118.187,  requestUrl:/controller/admin/login_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:http://jis-j.com/admin/login.php
date:2019/11/03 11:57:04,  ip:162.158.118.187,  hostname:162.158.118.187,  requestUrl:/admin/menu.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:http://jis-j.com/admin/login.php
date:2019/11/03 11:57:08,  ip:162.158.118.187,  hostname:162.158.118.187,  requestUrl:/admin/tour.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:http://jis-j.com/admin/menu.php
date:2019/11/03 11:57:08,  ip:162.158.118.187,  hostname:162.158.118.187,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2019/11/03 11:57:11,  ip:162.158.118.187,  hostname:162.158.118.187,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2019/11/03 12:01:35,  ip:162.158.118.181,  hostname:162.158.118.181,  requestUrl:/controller/admin/login_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:http://jis-j.com/admin/login.php
date:2019/11/03 12:01:35,  ip:162.158.118.181,  hostname:162.158.118.181,  requestUrl:/admin/menu.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:http://jis-j.com/admin/login.php
date:2019/11/03 12:01:39,  ip:162.158.118.181,  hostname:162.158.118.181,  requestUrl:/admin/tour.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:http://jis-j.com/admin/menu.php
date:2019/11/03 12:01:40,  ip:162.158.118.181,  hostname:162.158.118.181,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2019/11/03 12:01:43,  ip:162.158.118.181,  hostname:162.158.118.181,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2019/11/03 12:11:34,  ip:162.158.118.217,  hostname:162.158.118.217,  requestUrl:/controller/admin/login_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:http://jis-j.com/admin/login.php
date:2019/11/03 12:11:34,  ip:162.158.118.217,  hostname:162.158.118.217,  requestUrl:/admin/menu.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:http://jis-j.com/admin/login.php
date:2019/11/03 12:11:38,  ip:162.158.118.217,  hostname:162.158.118.217,  requestUrl:/admin/tour.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:http://jis-j.com/admin/menu.php
date:2019/11/03 12:11:39,  ip:162.158.118.217,  hostname:162.158.118.217,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2019/11/03 12:11:42,  ip:162.158.118.217,  hostname:162.158.118.217,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2019/11/03 12:11:53,  ip:162.158.118.217,  hostname:162.158.118.217,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2019/11/03 12:11:54,  ip:162.158.118.217,  hostname:162.158.118.217,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2019/11/03 12:24:48,  ip:162.158.118.125,  hostname:162.158.118.125,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2019/11/03 12:24:53,  ip:162.158.118.41,  hostname:162.158.118.41,  requestUrl:/admin/tour.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2019/11/03 12:24:54,  ip:162.158.118.41,  hostname:162.158.118.41,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2019/11/03 12:24:59,  ip:162.158.118.41,  hostname:162.158.118.41,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2019/11/03 12:25:24,  ip:162.158.118.41,  hostname:162.158.118.41,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2019/11/03 12:25:31,  ip:162.158.118.41,  hostname:162.158.118.41,  requestUrl:/admin/tour.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2019/11/03 12:25:31,  ip:162.158.118.41,  hostname:162.158.118.41,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2019/11/03 12:25:38,  ip:162.158.118.41,  hostname:162.158.118.41,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2019/11/03 12:26:06,  ip:162.158.118.41,  hostname:162.158.118.41,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2019/11/03 12:34:33,  ip:162.158.118.207,  hostname:162.158.118.207,  requestUrl:/admin/ad.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2019/11/03 12:34:37,  ip:162.158.118.43,  hostname:162.158.118.43,  requestUrl:/admin/tour.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2019/11/03 12:34:38,  ip:162.158.118.43,  hostname:162.158.118.43,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2019/11/03 12:37:24,  ip:162.158.119.6,  hostname:162.158.119.6,  requestUrl:/admin/tour.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2019/11/03 12:37:24,  ip:162.158.119.6,  hostname:162.158.119.6,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2019/11/03 12:37:27,  ip:162.158.119.6,  hostname:162.158.119.6,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2019/11/03 12:38:07,  ip:162.158.118.217,  hostname:162.158.118.217,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2019/11/03 12:38:09,  ip:162.158.118.217,  hostname:162.158.118.217,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2019/11/03 12:52:15,  ip:162.158.118.33,  hostname:162.158.118.33,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2019/11/03 12:52:23,  ip:162.158.118.33,  hostname:162.158.118.33,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2019/11/03 12:52:24,  ip:162.158.118.33,  hostname:162.158.118.33,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2019/11/03 12:53:36,  ip:162.158.118.33,  hostname:162.158.118.33,  requestUrl:/admin/tour.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2019/11/03 12:53:36,  ip:162.158.118.197,  hostname:162.158.118.197,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2019/11/03 12:53:39,  ip:162.158.118.197,  hostname:162.158.118.197,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2019/11/03 12:54:08,  ip:162.158.118.197,  hostname:162.158.118.197,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
