date:2019/12/09 09:21:48,  ip:162.158.118.141,  hostname:162.158.118.141,  requestUrl:/admin/store_basic.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36,  遷移元:https://jis-j.com/admin/store_basic.php
date:2019/12/09 17:19:42,  ip:162.158.118.189,  hostname:162.158.118.189,  requestUrl:/controller/admin/store_basic_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36,  遷移元:http://jis-j.com/admin/store_basic.php
date:2019/12/09 17:20:05,  ip:162.158.118.189,  hostname:162.158.118.189,  requestUrl:/admin/tour.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36,  遷移元:http://jis-j.com/admin/store_basic.php
date:2019/12/09 17:20:05,  ip:162.158.118.189,  hostname:162.158.118.189,  requestUrl:/controller/admin/tour_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2019/12/09 17:20:10,  ip:162.158.118.189,  hostname:162.158.118.189,  requestUrl:/admin/eng_offer.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36,  遷移元:http://jis-j.com/admin/tour.php
date:2019/12/09 17:20:10,  ip:162.158.118.189,  hostname:162.158.118.189,  requestUrl:/controller/admin/eng_offer_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36,  遷移元:http://jis-j.com/admin/eng_offer.php
date:2019/12/09 17:20:13,  ip:162.158.118.189,  hostname:162.158.118.189,  requestUrl:/admin/admin_user.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36,  遷移元:http://jis-j.com/admin/eng_offer.php
date:2019/12/09 17:20:14,  ip:162.158.118.189,  hostname:162.158.118.189,  requestUrl:/controller/admin/admin_user_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36,  遷移元:http://jis-j.com/admin/admin_user.php
date:2019/12/09 17:20:16,  ip:162.158.118.189,  hostname:162.158.118.189,  requestUrl:/admin/admin_user.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36,  遷移元:http://jis-j.com/admin/admin_user.php
date:2019/12/09 17:20:17,  ip:162.158.118.189,  hostname:162.158.118.189,  requestUrl:/controller/admin/admin_user_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36,  遷移元:http://jis-j.com/admin/admin_user.php
date:2019/12/09 17:20:18,  ip:162.158.118.189,  hostname:162.158.118.189,  requestUrl:/admin/news.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36,  遷移元:http://jis-j.com/admin/admin_user.php
date:2019/12/09 17:20:19,  ip:162.158.118.189,  hostname:162.158.118.189,  requestUrl:/controller/admin/news_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36,  遷移元:http://jis-j.com/admin/news.php
date:2019/12/09 17:20:25,  ip:162.158.118.189,  hostname:162.158.118.189,  requestUrl:/admin/ad.php,  method:GET,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36,  遷移元:http://jis-j.com/admin/news.php
date:2019/12/09 17:20:25,  ip:162.158.118.189,  hostname:162.158.118.189,  requestUrl:/controller/admin/ad_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36,  遷移元:http://jis-j.com/admin/ad.php
date:2019/12/09 17:20:35,  ip:162.158.118.189,  hostname:162.158.118.189,  requestUrl:/controller/admin/ad_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36,  遷移元:http://jis-j.com/admin/ad.php
date:2019/12/09 17:20:45,  ip:162.158.118.189,  hostname:162.158.118.189,  requestUrl:/controller/admin/ad_ct.php,  method:POST,  browser:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36,  遷移元:http://jis-j.com/admin/ad.php
